block,env,agent,rollouts,horizon,noise_std,flip_prob,mode_adv,delayed_penalty,switch_limit,reward_mean,reward_std,switch_mean,switch_std,churn_mean,churn_std,osc_mean,osc_std
Mech_Flip0,EnvA,Argmax,8,12,0.25,0.0,0.06,25.0,6,37.38737572828609,2.5984524755575067,17.944,4.4315757919728735,0.2990666666666666,0.07385959653288122,8.624,3.120676849659381
Mech_Flip0,EnvA,Commitment,8,12,0.25,0.0,0.06,25.0,6,63.50113572828609,1.9296791431198494,0.726,0.7077598462755569,0.0121,0.01179599743792595,0.03,0.1819340539866025
Mech_Flip0,EnvA,Softmax(tau=0.5),8,12,0.25,0.0,0.06,25.0,6,36.15409597803841,2.0308980713339144,27.19,4.194985101284629,0.45316666666666666,0.0699164183547438,13.29,4.059297968861118
Mech_Flip0,EnvA,LCB(k=1.0),8,12,0.25,0.0,0.06,25.0,6,37.00661572828608,2.2583527827619463,21.059,4.484586826007497,0.35098333333333337,0.07474311376679163,10.291,3.5547600481607757
Mech_Flip0,EnvA,"EMA(ΔQ,a=0.2)",8,12,0.25,0.0,0.06,25.0,6,57.21037572828609,11.216310558844064,4.304,5.973406398362663,0.07173333333333334,0.09955677330604439,3.292,5.365327203442489
Mech_Flip0,EnvA,Dwell(k=4),8,12,0.25,0.0,0.06,25.0,6,39.25056970986052,9.396223982202368,30.364,20.1830499181863,0.5060666666666667,0.33638416530310505,27.752,19.845868486916867
Mech_MarginBig,EnvA,Argmax,8,12,0.25,0.03,0.2,25.0,6,55.549215728286086,12.638751685594483,7.869,3.2347857734322996,0.13115,0.053913096223871665,2.982,1.9425951714137457
Mech_MarginBig,EnvA,Commitment,8,12,0.25,0.03,0.2,25.0,6,67.53161572828608,3.4246975350004334,1.643,1.1151461787586414,0.027383333333333332,0.01858576964597736,0.037,0.1990753626142622
Mech_MarginBig,EnvA,Softmax(tau=0.5),8,12,0.25,0.03,0.2,25.0,6,42.746095978038404,3.889162408214962,18.021,4.450680734449507,0.30034999999999995,0.07417801224082511,8.418,3.2624034085318145
Mech_MarginBig,EnvA,LCB(k=1.0),8,12,0.25,0.03,0.2,25.0,6,46.440015728286085,7.757078201201528,11.089,3.593198992541326,0.18481666666666666,0.059886649875688765,4.677,2.3187649729974793
Mech_MarginBig,EnvA,"EMA(ΔQ,a=0.2)",8,12,0.25,0.03,0.2,25.0,6,62.64721572828608,12.31917491176894,5.143,5.46045336945569,0.08571666666666666,0.09100755615759484,3.235,4.943660081356727
Mech_MarginBig,EnvA,Dwell(k=4),8,12,0.25,0.03,0.2,25.0,6,42.591009709860515,10.717517226853946,29.84,17.74323533068307,0.4973333333333333,0.29572058884471786,28.019,17.535296946444905
ComputeSweep_N=2,EnvA,Argmax,2,12,0.25,0.03,0.06,25.0,6,35.997065516990915,1.947425786288355,27.814,4.191825855161447,0.46356666666666674,0.0698637642526908,13.61,4.146070428731282
ComputeSweep_N=2,EnvA,Commitment,2,12,0.25,0.03,0.06,25.0,6,58.57998551699092,8.829369443825751,3.559,2.7706531720877656,0.05931666666666666,0.04617755286812943,0.613,1.0095697103221748
ComputeSweep_N=2,EnvA,Softmax(tau=0.5),2,12,0.25,0.03,0.06,25.0,6,35.75453272201955,1.9289287885715367,28.728,3.9143346816540867,0.47880000000000006,0.06523891136090144,14.173,4.1384865591179585
ComputeSweep_N=2,EnvA,LCB(k=1.0),2,12,0.25,0.03,0.06,25.0,6,35.87646551699091,1.941338083934733,28.18,4.146275437063968,0.46966666666666673,0.0691045906177328,13.745,4.2197126679431625
ComputeSweep_N=2,EnvA,"EMA(ΔQ,a=0.2)",2,12,0.25,0.03,0.06,25.0,6,39.17446551699091,8.379417030946732,22.751,11.710892322961561,0.3791833333333333,0.195181538716026,17.801,10.994243903061275
ComputeSweep_N=2,EnvA,Dwell(k=4),2,12,0.25,0.03,0.06,25.0,6,35.59636829358377,2.779256708857256,30.332,9.486926583462107,0.5055333333333333,0.15811544305770178,26.554,9.4145145387322
ComputeSweep_N=4,EnvA,Argmax,4,12,0.25,0.03,0.06,25.0,6,36.38970129610881,1.937332423325754,25.162,4.264007035641475,0.41936666666666667,0.07106678392735792,12.219,3.935103429390389
ComputeSweep_N=4,EnvA,Commitment,4,12,0.25,0.03,0.06,25.0,6,61.428701296108805,4.1291583614141985,2.239,1.6437393345661593,0.03731666666666667,0.027395655576102653,0.154,0.4497599359658439
ComputeSweep_N=4,EnvA,Softmax(tau=0.5),4,12,0.25,0.03,0.06,25.0,6,35.880316312528635,1.9255074991257481,28.551,4.094557241021304,0.47585,0.06824262068368842,13.982,4.1758443457581125
ComputeSweep_N=4,EnvA,LCB(k=1.0),4,12,0.25,0.03,0.06,25.0,6,36.17646129610881,1.9320645839386252,26.536,4.22145756818661,0.44226666666666664,0.0703576261364435,13.067,4.083933275654734
ComputeSweep_N=4,EnvA,"EMA(ΔQ,a=0.2)",4,12,0.25,0.03,0.06,25.0,6,42.54110129610881,11.038733242237914,16.894,10.898658816570046,0.2815666666666667,0.18164431360950076,12.987,10.008637819403797
ComputeSweep_N=4,EnvA,Dwell(k=4),4,12,0.25,0.03,0.06,25.0,6,35.6568062907615,2.8188642767247476,30.328,10.400981492147748,0.5054666666666667,0.17334969153579582,26.755,10.268640367643615
ComputeSweep_N=8,EnvA,Argmax,8,12,0.25,0.03,0.06,25.0,6,36.87973572828608,2.105047214942701,21.343,4.284081115011713,0.3557166666666667,0.0714013519168619,10.107,3.5470482094271003
ComputeSweep_N=8,EnvA,Commitment,8,12,0.25,0.03,0.06,25.0,6,61.93205572828608,2.796749345137869,1.792,1.2659921010812034,0.029866666666666666,0.021099868351353388,0.071,0.2965788259468298
ComputeSweep_N=8,EnvA,Softmax(tau=0.5),8,12,0.25,0.03,0.06,25.0,6,35.912415978038425,2.025854087844877,28.083,4.203107302936722,0.46805,0.0700517883822787,13.709,4.101014386709708
ComputeSweep_N=8,EnvA,LCB(k=1.0),8,12,0.25,0.03,0.06,25.0,6,36.58353572828609,1.9536783512043796,23.548,4.3586346486027026,0.3924666666666667,0.07264391081004505,11.32,3.8101968453086514
ComputeSweep_N=8,EnvA,"EMA(ΔQ,a=0.2)",8,12,0.25,0.03,0.06,25.0,6,48.213495728286084,12.872547545959016,10.947,9.303665460451596,0.18245,0.1550610910075266,8.187,8.472309661479567
ComputeSweep_N=8,EnvA,Dwell(k=4),8,12,0.25,0.03,0.06,25.0,6,36.46716970986052,4.513170677727298,30.204,12.538196999568957,0.5034,0.20896994999281596,27.032,12.383496113779822
ComputeSweep_N=16,EnvA,Argmax,16,12,0.25,0.03,0.06,25.0,6,38.63524218751241,5.686853769413987,15.298,4.3905803716593095,0.2549666666666666,0.07317633952765516,7.03,2.9514572671817563
ComputeSweep_N=16,EnvA,Commitment,16,12,0.25,0.03,0.06,25.0,6,62.26752218751241,2.261028927560797,1.635,1.1143495860814954,0.027249999999999996,0.018572493101358258,0.05,0.21794494717703364
