agent,episodes,total_reward_mean,total_reward_std,churn_mean,churn_std,switches_mean,dissonance_mean,drift_mean
ZState(alpha=0.08),3200,80.40052256303248,18.72161560477927,0.059907128514056225,0.029131219822773342,14.916875,0.42110596579417586,0.0021633152159303425
InstantObs,3200,23.124956707193984,19.27860895552747,0.731085592369478,0.05539722080460516,182.0403125,0.0,0.0
